Code,Amount,Units,Time,Province,CustomerId,Supermarket No,Basket,Day,Voucher
I0011,51.05986339947703,3.4564822165853597,2024-05-24,P1,C68,S002,B322,Friday,N
I0009,57.34683199202324,5.317076577749234,2024-02-19,P1,C767,S001,B369,Monday,N
I0014,44.74001603498202,5.463370963221513,2024-08-04,P1,C621,S006,B87,Sunday,N
I0012,34.53236954088454,3.472691139743592,2024-06-08,P1,C232,S009,B256,Saturday,N
I0024,72.9514776066696,3.777761794948672,2024-10-27,P1,C138,S001,B88,Sunday,N
I0001,9.038075610894182,3.97923469582994,2024-03-08,P1,C133,S000,B183,Friday,N
I0008,61.26736862997506,4.673930246297535,2024-01-09,P1,C270,S001,B59,Tuesday,N
I0020,110.8412892751472,5.950065177501907,2024-06-01,P1,C212,S008,B357,Saturday,N
I0029,61.99462909245779,3.8991052857656703,2024-04-30,P1,C50,S006,B378,Tuesday,N
I0010,30.004501467512323,3.9100774939340166,2024-12-13,P1,C331,S001,B13,Friday,N
I0042,10.060204666227795,0.7192158536458642,2024-09-05,P1,C915,S008,B316,Thursday,N
I0033,58.63357787288373,7.289951139225662,2024-07-27,P1,C382,S003,B205,Saturday,N
I0013,69.93806009625688,4.036442199249588,2024-05-24,P1,C724,S000,B380,Friday,N
I0037,18.073140208030445,3.3991874537501734,2024-05-02,P1,C271,S000,B122,Thursday,N
I0048,67.58529438794379,4.743387149068735,2024-07-21,P1,C928,S004,B151,Sunday,N
I0042,33.36453028662764,5.198128960774992,2024-05-27,P1,C78,S001,B57,Monday,N
I0002,2.9322478479033043,0.1550965049380285,2024-01-18,P1,C686,S007,B302,Thursday,N
I0013,23.57608205787098,5.727048136937409,2024-09-13,P1,C914,S007,B206,Friday,N
I0017,80.02434077212604,11.53650609311654,2024-07-27,P1,C550,S000,B300,Saturday,N
I0038,39.52876230772655,3.881157955572134,2024-08-09,P1,C705,S008,B345,Friday,N
I0046,59.37214432092566,6.740164081583414,2024-09-18,P1,C757,S002,B196,Wednesday,N
I0036,85.63811175567187,4.429762251840484,2024-09-11,P1,C561,S001,B285,Wednesday,N
I0011,87.65230196375418,5.015011311667109,2024-11-26,P1,C731,S002,B167,Tuesday,N
I0022,32.79597458885543,5.5109092772754,2024-04-15,P1,C605,S003,B109,Monday,N
