brand,total_revenue,avg_transaction,transaction_count,total_units
Private Label,367580.54,1.269243523960139,289606,344212
Ragu,309887.26,2.0076009510420647,154357,188842
Prego,171231.12,2.417460151628524,70831,81369
Barilla,121721.35,1.6257693335114198,74870,91500
Aunt Jemima,117249.68,2.644153079403739,44343,45537
Classico,93468.58,2.927846761057512,31924,36923
Private Label Premium,79584.02,1.7073719213936327,46612,55404
Creamette,63303.8,1.4003096865529676,45207,53300
Mueller,58548.92,1.1814698522883202,49556,67508
Hunt's,47540.99,1.2989696439793437,36599,47473
Bertolli,43368.909999999996,3.2117981189365326,13503,15075
Hungry Jack,43241.1,2.659517805523095,16259,16719
Ronzoni,42204.95,1.312016600348172,32168,39833
Mrs Butterworth,40263.11,2.8175724282715184,14290,14583
San Giorgio,34790.14,1.361915834801331,25545,31404
Log Cabin,26251.45,3.231345396356475,8124,8315
Newman's,21788.100000000002,2.796931964056483,7790,8962
Karo,20500.87,2.529410240592227,8105,8697
Northwoods,18912.38,1.7311102974828376,10925,11361
Hodgson Mills,15906.77,2.0690387617065555,7688,8491
Emeril's,15341.7,3.1367205070537723,4891,5413
No Yolks,13682.67,1.46057536293766,9368,11428
Private Label Value,9824.21,1.4615010413567389,6722,7470
Cary's,8957.72,3.3042124677240867,2711,2835
Cozy Cottage,8359.91,2.3390906547285955,3574,3825
Spring Tree,6673.47,3.4152865916069604,1954,2069
Bisquick,5678.3,1.4097070506454816,4028,5554
Krusteaz,5634.01,2.3242615511551157,2424,2517
Maple Grove,5199.31,4.5448513986013985,1144,1221
Pennant,5158.38,2.167386554621849,2380,2519
Healthy Harvest,5072.88,1.7749755073477957,2858,3300
Smuckers,4673.01,2.5369218241042346,1842,1890
Kellogg,4200.22,3.1533183183183184,1332,1343
White Lily,3260.66,1.0652270499836654,3061,4962
Grandma Molases,2797.37,2.4909795191451467,1123,1237
Dececco,2695.21,2.4150627240143367,1116,1309
Alaga,2008.07,2.8442917847025493,706,738
DaVinci,1961.47,1.6197109826589595,1211,1387
Pennsylvania Dutch,1661.45,2.1577272727272727,770,1003
Michele's,1420.02,3.848292682926829,369,376
Pioneer,1382.44,1.8606191117092867,743,807
Chef Pizza,1226.27,1.916046875,640,915
Miller,1025.42,3.1073333333333335,330,368
Brier Rabbit,1004.99,2.4452311435523115,411,439
Candoni,913.1,4.286854460093897,213,220
Al Dente,908.63,4.0383555555555555,225,237
Bruce's,769.11,4.069365079365079,189,219
Sobrab Bkstrp,758.41,2.0665122615803813,367,399
Patsy's,662.26,6.557029702970297,101,104
Classique,641.38,3.8405988023952093,167,204
Defino,507.45,2.7729508196721313,183,255
Maggi Spaetzle,505.15999999999997,4.470442477876106,113,138
M W Flapstax,417.45,1.1759154929577464,355,615
Colavita,402.53,2.9381751824817517,137,147
R&F,396.27,2.6418,150,198
Notta,395.91,2.932666666666667,135,159
Alessi,385.85,3.297863247863248,117,132
Buitoni,360.74,3.4686538461538463,104,118
Moonlite,339.56,4.2445,80,84
Boves,294.99,5.086034482758621,58,61
Mom's,280.40999999999997,8.24735294117647,34,41
HSE,263.31,2.8620652173913044,92,99
Mrs Weiss,183.75,1.7334905660377358,106,125
Sugar Buster,135.73,2.6613725490196076,51,57
Pine Mountain,120.91,3.5561764705882353,34,39
Fifty 50,118.75,2.761627906976744,43,45
Raos,112.81,6.267222222222222,18,19
Dell Amore,103.44,7.388571428571429,14,16
Elena's,97.84,6.522666666666667,15,16
Mother's,85.33,1.6731372549019607,51,67
Roselli,79.13,3.768095238095238,21,27
Vincent's,74.67,8.296666666666667,9,13
Sinatra's,60.25,4.016666666666667,15,15
Kraft,57.400000000000006,11.48,5,5
Golden Eagle,57.17,1.9056666666666666,30,33
Dell Alpe,56.44,2.4539130434782606,23,26
Eddie,50.79,2.673157894736842,19,21
Brother's,42.9,3.064285714285714,14,14
San Marzano,41.32,5.165,8,8
Cento,35.25,3.2045454545454546,11,15
Dave's,34.95,6.99,5,5
Osem Bissli,25.39,1.2695,20,31
Howard's,23.54,3.9233333333333333,6,6
Gooch,16.46,4.115,4,4
Bellino,14.76,3.69,4,4
Ferrara,14.02,2.0028571428571427,7,8
Darielle,13.16,4.386666666666667,3,4
Lyles,10.47,5.235,2,3
Enrico,10.47,3.49,3,3
Orzo,9.95,1.9899999999999998,5,5
Mayacmas,9.14,1.828,5,6
Mlinotst,8.96,2.24,4,4
Annie Chns,8.67,2.89,3,3
Amore,8.38,4.19,2,2
Sand Mountain,7.98,3.99,2,2
Walnut Acres,7.7,3.85,2,2
Annarino,6.98,3.49,2,2
La Moderna,6.29,1.258,5,7
Cucina,5.98,2.99,2,2
Pomi,5.58,2.79,2,2
Cara Nona,5.48,2.74,2,2
Knott's,5.38,2.69,2,2
Arlow,4.98,2.49,2,2
RAC,4.98,2.49,2,2
Fastshake,4.03,0.806,5,5
Lund Swede,3.98,3.98,1,2
Eden,3.85,3.85,1,1
Vita,3.29,3.29,1,1
Type 2riso,2.95,2.95,1,1
Farm Style,2.49,2.49,1,1
La Russa,1.07,1.07,1,1
