kpi_name,value,formatted_value
Total Revenue,1867250.9100000001,"$1,867,250.91"
Total Transactions,1047424.0,"1,047,424"
Average Transaction Amount,1.782707776411463,$1.78
Unique Customers,249583.0,"249,583"
Unique Products,781.0,781
Unique Stores,376.0,376
Promotional Effectiveness (%),,nan%
Average Customer Value,7.481482753232393,$7.48
Avg Transactions per Customer,4.19669608907658,4.2
Avg Revenue per Product,2390.8462355953907,$2390.85
Avg Units per Transaction,1.1881998121104729,1.2
Analysis Period (Weeks),28.0,28 weeks
