customer_id,total_spent,avg_transaction,total_units,value_segment
1,3.29,1.645,2,Low
2,61.59,2.799545454545455,25,Low
5,6.33,2.11,4,Low
6,0.79,0.79,1,Low
7,1.69,1.69,1,Low
9,5.11,1.2775,4,Low
19,7.760000000000001,1.552,5,Low
22,7.13,1.426,5,Low
23,1.79,1.79,1,Low
25,4.05,2.025,3,Low
29,4.78,2.39,2,Low
31,21.12,3.0171428571428573,9,Low
35,13.85,3.4625,5,Low
36,37.28,2.071111111111111,19,Low
41,2.25,2.25,1,Low
42,3.0,3.0,2,Low
43,1.19,1.19,1,Low
47,10.56,2.64,4,Low
48,2.99,2.99,1,Low
49,10.57,2.6425,5,Low
50,1.99,1.99,1,Low
53,2.99,2.99,1,Low
56,0.8,0.8,1,Low
58,1.89,1.89,1,Low
62,5.77,1.9233333333333331,4,Low
64,10.68,1.1866666666666665,10,Low
65,3.96,1.32,4,Low
66,7.38,2.46,4,Low
75,2.39,2.39,1,Low
77,2.5700000000000003,0.8566666666666668,3,Low
78,6.92,1.73,4,Low
82,2.19,2.19,1,Low
83,5.58,5.58,2,Low
84,16.0,1.7777777777777777,13,Low
90,4.89,2.445,3,Low
91,0.45,0.45,1,Low
95,3.59,1.795,3,Low
96,0.99,0.99,1,Low
97,1.5,1.5,1,Low
101,0.99,0.99,1,Low
106,12.54,6.27,6,Low
107,2.19,2.19,1,Low
112,1.57,1.57,1,Low
113,0.99,0.99,1,Low
114,2.74,1.37,2,Low
117,1.39,1.39,1,Low
118,4.18,2.09,2,Low
127,2.38,2.38,2,Low
130,6.67,3.335,3,Low
131,4.58,2.29,2,Low
134,4.68,2.34,3,Low
135,5.05,1.2625,4,Low
137,3.1399999999999997,1.5699999999999998,2,Low
139,1.29,1.29,1,Low
142,7.93,1.5859999999999999,5,Low
145,2.89,2.89,1,Low
149,4.38,2.19,2,Low
153,2.0,2.0,1,Low
157,9.25,1.5416666666666667,6,Low
158,1.18,1.18,2,Low
161,8.06,2.015,4,Low
163,0.79,0.79,1,Low
167,2.99,2.99,1,Low
168,7.2,1.44,6,Low
172,3.67,1.835,3,Low
173,3.7800000000000002,1.8900000000000001,2,Low
175,4.97,1.2425,4,Low
176,2.29,2.29,1,Low
181,4.87,1.2175,4,Low
182,0.79,0.79,1,Low
188,9.620000000000001,1.6033333333333335,6,Low
192,4.38,4.38,2,Low
193,1.07,1.07,1,Low
195,0.78,0.78,2,Low
196,1.19,1.19,1,Low
199,9.07,3.0233333333333334,5,Low
201,5.76,1.44,4,Low
202,1.5,1.5,1,Low
204,9.75,3.25,7,Low
205,4.86,1.62,6,Low
207,1.7799999999999998,0.8899999999999999,2,Low
208,1.88,0.94,2,Low
211,1.19,1.19,1,Low
217,2.79,1.395,2,Low
221,3.63,1.21,3,Low
222,5.4399999999999995,2.7199999999999998,2,Low
225,2.49,2.49,1,Low
228,1.99,1.99,1,Low
229,24.97,1.4688235294117646,19,Low
234,1.19,1.19,1,Low
237,5.779999999999999,2.8899999999999997,2,Low
246,3.79,3.79,1,Low
247,6.98,3.49,2,Low
252,7.960000000000001,1.592,5,Low
254,5.47,1.8233333333333333,3,Low
257,1.59,1.59,1,Low
261,6.57,3.285,4,Low
264,1.5,1.5,1,Low
270,9.8,1.6333333333333335,6,Low
272,2.17,1.085,2,Low
276,31.18,1.2472,28,Low
277,0.69,0.69,1,Low
279,4.84,2.42,3,Low
282,1.19,1.19,1,Low
293,2.45,2.45,1,Low
294,5.0,5.0,2,Low
296,1.19,1.19,1,Low
299,6.57,2.19,3,Low
300,2.79,1.395,2,Low
303,5.86,1.9533333333333334,4,Low
304,2.67,2.67,2,Low
307,0.79,0.79,1,Low
308,4.59,2.295,3,Low
309,0.99,0.99,1,Low
313,2.99,2.99,1,Low
316,9.72,2.43,4,Low
317,1.25,1.25,1,Low
318,9.68,2.42,7,Low
320,3.19,3.19,1,Low
321,9.59,2.3975,6,Low
322,1.98,1.98,2,Low
323,11.7,2.34,5,Low
326,1.19,1.19,1,Low
328,5.25,2.625,3,Low
329,1.19,1.19,1,Low
333,6.84,1.71,4,Low
337,2.99,1.495,2,Low
339,2.29,2.29,1,Low
342,6.970000000000001,3.4850000000000003,3,Low
348,22.93,2.0845454545454545,13,Low
354,4.58,2.29,2,Low
360,10.76,5.38,4,Low
361,14.76,2.46,6,Low
365,4.66,2.33,2,Low
368,0.49,0.49,1,Low
372,4.48,2.24,2,Low
380,8.75,1.4583333333333333,7,Low
384,1.5,1.5,1,Low
385,3.56,1.78,5,Low
389,2.24,2.24,1,Low
390,1.95,1.95,1,Low
391,0.74,0.74,1,Low
392,0.85,0.85,1,Low
394,3.29,1.645,2,Low
399,2.17,1.085,2,Low
402,5.08,2.54,2,Low
404,1.8800000000000001,0.9400000000000001,2,Low
405,7.64,1.528,5,Low
409,2.84,2.84,1,Low
411,0.9,0.9,2,Low
413,2.84,1.42,3,Low
416,4.0,1.0,4,Low
420,6.41,1.6025,4,Low
422,13.780000000000001,2.296666666666667,6,Low
424,5.38,2.69,2,Low
426,1.29,1.29,1,Low
429,3.94,1.3133333333333332,3,Low
430,9.68,1.936,9,Low
434,4.85,1.6166666666666665,3,Low
437,2.79,2.79,1,Low
439,2.86,1.43,2,Low
440,9.69,3.23,5,Low
441,3.04,1.0133333333333334,4,Low
445,17.99,1.799,12,Low
448,1.89,1.89,1,Low
458,13.4,2.2333333333333334,9,Low
462,7.55,1.0785714285714285,7,Low
464,0.99,0.99,1,Low
473,18.7,1.7,13,Low
486,8.78,1.7559999999999998,5,Low
489,7.75,1.9375,5,Low
490,1.69,1.69,1,Low
493,7.36,1.84,4,Low
496,5.0600000000000005,1.2650000000000001,4,Low
498,10.86,1.8099999999999998,6,Low
499,14.91,1.146923076923077,14,Low
505,3.1799999999999997,1.5899999999999999,2,Low
511,15.09,1.3718181818181818,14,Low
512,2.0,2.0,1,Low
513,3.49,3.49,1,Low
517,21.0,1.9090909090909092,14,Low
525,1.99,1.99,1,Low
532,3.2800000000000002,1.6400000000000001,2,Low
533,14.7,2.94,7,Low
535,1.7600000000000002,0.8800000000000001,2,Low
