day,avg_transaction_amount,total_sales,transaction_count,unique_customers
1,2.7599055097151983,20737.93,7514,4761
2,1.847249724972497,11754.05,6363,4059
3,1.85340581001604,10399.460000000001,5611,3557
4,1.8439798225778399,10601.04,5749,3689
5,1.8242106291520124,9336.31,5118,3345
6,1.8392499999999998,10226.23,5560,3590
7,1.83359038488259,13196.35,7197,4643
8,1.8834833928081252,13723.06,7286,4648
9,1.85923790913532,11417.58,6141,3963
10,1.8554379355810888,9850.52,5309,3450
11,1.868049728049728,4808.36,2574,1681
12,1.8473168563300142,10389.31,5624,3611
13,1.8734659090909092,12200.01,6512,4106
14,1.8577309706898475,16669.420000000002,8973,5536
15,1.7962142020653677,16871.84,9393,5606
16,1.8092399681105502,13616.34,7526,4533
17,1.7755562599049128,11203.76,6310,3877
18,1.7949382156218114,15833.15,8821,5359
19,1.784956550802139,10681.18,5984,3704
20,1.7803514739229025,12562.16,7056,4336
21,1.7794705435608116,16401.38,9217,5616
22,1.752372933251684,17169.75,9798,5813
23,1.77276955602537,13416.32,7568,4532
24,1.7707172162285367,11653.09,6581,3992
25,1.7690861802333755,12583.51,7113,4347
26,1.7886507424144609,11082.48,6196,3835
27,1.7602419588525067,12149.19,6902,4166
28,1.7468277129269347,16161.65,9252,5673
29,1.885500678119349,16682.91,8848,5608
30,1.8543693833281687,11968.1,6454,4123
31,1.8917210456019844,9914.51,5241,3363
32,1.8601491180214587,10228.960000000001,5499,3654
33,1.9158964143426294,9617.8,5020,3315
34,1.8928044714649932,9651.41,5099,3379
35,1.825919247353979,13973.76,7653,4984
36,1.7860694444444445,15431.64,8640,5478
37,1.7583880323614716,11519.2,6551,4174
38,1.7874461367013375,9623.61,5384,3446
39,1.7614607320845508,10249.94,5819,3749
40,1.7979290880225791,10192.460000000001,5669,3633
41,1.7872100313479624,11402.4,6380,4088
42,1.7596287621501345,15025.47,8539,5473
43,1.7655406331369055,12883.15,7297,4639
44,1.774237404162103,12959.03,7304,4664
45,1.7666722054380666,11695.37,6620,4094
46,1.747940726802305,14862.74,8503,5395
47,1.7819031014865112,9709.59,5449,3404
48,1.7683715401596196,10413.94,5889,3759
49,1.7500082430522845,14861.07,8492,5277
50,1.7849828215589436,16625.33,9314,5705
51,1.8121419428246337,12741.17,7031,4348
52,1.824670377456949,10490.03,5749,3615
53,1.8285049779663782,11203.25,6127,3901
54,1.8093562559694365,9471.98,5235,3358
55,1.8458001693480104,10899.45,5905,3782
56,1.77011906193626,14718.54,8315,5299
57,1.7776688583383147,17844.24,10038,6193
58,1.76075210589651,5852.74,3324,2083
59,1.8339606209769026,4843.49,2641,1683
60,1.8414433844877645,4439.72,2411,1557
61,1.8210003572704536,5096.98,2799,1797
62,1.7989168081494058,5297.81,2945,1877
63,1.8031336898395722,6743.72,3740,2442
64,1.8586120899972893,6856.42,3689,2397
65,1.8410772757039946,5622.65,3054,1983
66,1.856341565508581,4434.8,2389,1586
67,1.838442429022082,4662.29,2536,1702
68,1.8541648270787343,5039.62,2718,1833
69,1.799580230196344,5315.96,2954,1989
70,1.8135331065166187,6929.51,3821,2538
71,1.856807101218866,7007.59,3774,2524
72,1.8536803496176057,11876.53,6407,4196
73,1.8352296755377324,10068.07,5486,3569
74,1.8467559562137796,14340.06,7765,5043
75,1.8635916489738147,10533.02,5652,3663
76,1.8190522931122017,10748.78,5909,3858
77,1.8089188852948495,14540.09,8038,5173
78,1.6138021022109459,17809.92,11036,6386
79,1.597320173971228,14323.17,8967,5176
80,1.6031231309322587,12329.62,7691,4393
81,1.5916108083033749,13724.460000000001,8623,4968
82,1.6123755997258398,11762.28,7295,4135
83,1.6499264426125555,13009.67,7885,4547
84,1.6192491982644783,17167.28,10602,6084
85,1.7083997394419714,15736.07,9211,5535
86,1.6637932992617832,11719.76,7044,4278
87,1.7075254288750568,11247.47,6587,4037
88,1.6830126351042778,11055.710000000001,6569,4140
89,1.6760600033151003,10111.67,6033,3747
90,1.7113428660242462,11010.78,6434,4035
91,1.7042485549132949,13562.41,7958,4997
92,1.7975665582459945,14921.6,8301,5300
93,1.77136,11292.42,6375,4082
94,1.7669824825767564,9380.91,5309,3459
95,1.7700778898920162,9999.17,5649,3670
96,1.7701830249396622,8801.35,4972,3268
97,1.7854808206958075,10007.62,5605,3674
98,1.7641890330037242,13737.74,7787,5010
99,1.7843097750772838,16738.61,9381,5984
100,1.7625412249705537,11971.18,6792,4382
101,1.7814814168556972,10209.67,5731,3721
102,1.7346239654551998,9641.04,5558,3651
103,1.7748314014752369,10105.89,5694,3713
104,1.753070224198629,9461.32,5397,3505
105,1.7597093854216295,14774.52,8396,5319
106,1.8030790360844051,14440.86,8009,5026
107,1.763427830276079,9517.22,5397,3408
108,1.769784283513097,8040.13,4543,2869
109,1.791098901098901,10105.38,5642,3656
110,1.8077529116236584,7916.15,4379,2828
111,1.7779440069991252,8128.76,4572,2884
112,1.808207474026981,11661.13,6449,4104
113,1.8340264650283553,8731.8,4761,3004
114,1.8326634174311927,6392.33,3488,2236
115,1.7898215992354254,5618.25,3139,2039
116,1.8214763482976801,6045.4800000000005,3319,2174
117,1.836187458305537,5504.89,2998,1968
118,1.8390673736743606,5896.05,3206,2073
119,1.8222733363108532,8160.14,4478,2883
120,1.859513292433538,9093.02,4890,3091
121,1.8377119098712447,6850.99,3728,2404
122,1.8372763288213931,5565.11,3029,1968
123,1.8414243498817968,6231.38,3384,2321
124,1.4939130434782608,34.36,23,13
153,2.1623333333333337,64.87,30,27
154,1.9026339285714287,11080.94,5824,3894
155,1.9470186640471514,15856.52,8144,5351
156,1.904086833411987,16139.04,8476,5846
157,1.9185524417885844,18621.47,9706,6863
158,1.922507204610951,18011.97,9369,6873
160,1.9328638497652582,10292.5,5325,3532
161,1.8548777196829145,10997.57,5929,3878
162,1.8614137020351096,11981.92,6437,4124
163,1.8676551108466002,12552.51,6721,4324
164,1.8491059934201117,12927.1,6991,4558
165,1.8641665615141956,14773.52,7925,5443
166,1.8448393159180605,9816.39,5321,3481
167,1.8412431390001482,12411.82,6741,4342
168,1.8685123647604327,4835.71,2588,1656
169,1.8310523854069225,11744.37,6414,3954
170,1.808133298955782,14025.69,7757,4872
171,1.7793862103011353,10813.33,6077,3825
172,1.8107203103913632,10733.95,5928,3804
173,1.8436784741144414,12855.97,6973,4466
174,1.8505956208850098,12086.24,6531,4234
175,1.8518322451029634,18434.99,9955,6363
176,1.8087482878516492,17166.83,9491,5901
177,1.7843396226415096,12861.52,7208,4581
178,1.7942253753506021,10874.8,6061,3917
179,1.7764467697907187,11713.89,6594,4240
180,1.8044745815251084,11642.47,6452,4095
181,1.796276749566223,12423.05,6916,4433
182,1.7714505688505295,18061.71,10196,6376
183,1.5972895107210863,19293.66,12079,6896
184,1.5660845904143597,16403.170000000002,10474,6149
185,1.5606313523855075,13051.56,8363,4945
186,1.5291060823264386,14933.25,9766,5645
187,1.568182543299909,13762.37,8776,5100
188,1.5798813241723924,15176.34,9606,5577
189,1.5776669843830193,21517.8,13639,7846
190,1.6389861751152073,10669.8,6510,3983
191,1.6023433303491497,7159.27,4468,2720
192,1.6090984089569829,5461.28,3394,2069
193,1.5851726027397262,5785.88,3650,2273
194,1.6597468354430378,4851.44,2923,1807
195,1.835,29.36,16,11
