quarter,product_type,total_sales,avg_transaction,total_units
1,Type 1,54223.57,1.8866934585942936,31877
1,Type 2,327256.68,1.2556225804100019,318603
1,Type 3,482209.19,2.1534983185884182,269257
1,Type 4,184687.16,2.5648500840196093,75774
2,Type 1,39410.79,1.913145145631068,22756
2,Type 2,211301.67,1.2473534238488784,203613
2,Type 3,283193.54,2.257259662519229,148716
2,Type 4,136873.13,2.5824144371910496,55857
3,Type 1,7100.55,1.9077243417517464,4029
3,Type 2,43232.65,1.1888532930015125,47664
3,Type 3,73948.04,1.6638101023737202,56874
3,Type 4,23813.94,2.6077463863337713,9529
