week,total_sales,average_transaction,transaction_count
1,86251.37,2.000634858044164,43112
2,79058.26,1.8637464343808199,42419
3,97169.81,1.7892686025742537,54307
4,94215.99,1.7640140423141735,53410
5,82037.45,1.8724026566850778,43814
6,83444.72,1.7760997828955771,46982
7,87384.89,1.7634275739597207,49554
8,86149.75,1.8069835976172497,47676
9,50118.7,1.7964979568427843,27898
10,38861.25,1.8364562166249232,21161
11,79114.14,1.8385382631126397,43031
12,100126.4,1.6123673489106103,62099
13,84443.87,1.6944351472830885,49836
14,78140.81,1.776008227646711,43998
15,82902.23,1.7657933076316854,46949
16,69809.63,1.7904036829011825,38991
17,46348.94,1.8255520107133012,25389
18,27774.86,1.8450152783313405,15054
22,11145.81,1.9039648103860607,5854
23,89919.07,1.9152499520756567,46949
24,79298.97,1.8560755079112443,42724
25,90694.54,1.8272295759040997,49635
26,94744.27,1.7903977852526551,52918
27,114138.15,1.569923524476294,72703
28,33957.03,1.6200100186059825,20961
