week,total_sales,avg_transaction,unique_customers,sales_4week_ma,customers_4week_ma
1,86251.37,2.000634858044164,26501,,
2,79058.26,1.8637464343808199,25847,,
3,97169.81,1.7892686025742537,31508,,
4,94215.99,1.7640140423141735,30882,89173.8575,28684.5
5,82037.45,1.8724026566850778,27291,88120.3775,28882.0
6,83444.72,1.7760997828955771,28703,89216.9925,29596.0
7,87384.89,1.7634275739597207,29913,86770.7625,29197.25
8,86149.75,1.8069835976172497,28702,84754.2025,28652.25
9,50118.7,1.7964979568427843,17008,76774.515,26081.5
10,38861.25,1.8364562166249232,13399,65628.6475,22255.5
11,79114.14,1.8385382631126397,26968,63560.96,21519.25
12,100126.4,1.6123673489106103,33920,67055.1225,22823.75
13,84443.87,1.6944351472830885,29420,75636.415,25926.75
14,78140.81,1.776008227646711,27275,85456.305,29395.75
15,82902.23,1.7657933076316854,28971,86403.32749999998,29896.5
16,69809.63,1.7904036829011825,23895,78824.135,27390.25
17,46348.94,1.8255520107133012,15704,69300.4025,23961.25
18,27774.86,1.8450152783313405,9612,56708.915,19545.5
22,11145.81,1.9039648103860607,3921,38769.81,13283.0
23,89919.07,1.9152499520756567,30787,43797.17,15006.0
24,79298.97,1.8560755079112443,26761,52034.677500000005,17770.25
25,90694.54,1.8272295759040997,30191,67764.5975,22915.0
26,94744.27,1.7903977852526551,31973,88664.2125,29928.0
27,114138.15,1.569923524476294,39671,94718.9825,32149.0
28,33957.03,1.6200100186059825,12569,83383.4975,28601.0
