code,supermarkets,week,feature,display,province
2700042240,285,91,Not on Feature,Mid-Aisle End Cap,2
2700042292,285,92,Interior Page Feature,Not on Display,2
2700042274,285,92,Interior Page Feature,Not on Display,2
2700042273,285,92,Interior Page Feature,Not on Display,2
2700042254,285,92,Interior Page Feature,Not on Display,2
2700042240,285,92,Interior Page Feature,Mid-Aisle End Cap,2
2700042239,285,92,Interior Page Feature,Not on Display,2
2700042238,285,92,Interior Page Feature,Not on Display,2
2700042232,285,92,Interior Page Feature,Not on Display,2
2700042240,285,93,Not on Feature,Mid-Aisle End Cap,2
3620004155,286,94,Interior Page Feature,Not on Display,2
3620004153,286,94,Interior Page Feature,Not on Display,2
3620004152,286,94,Interior Page Feature,Not on Display,2
3620001375,286,94,Interior Page Feature,Not on Display,2
3620001369,286,94,Interior Page Feature,Not on Display,2
3620001365,286,94,Interior Page Feature,Not on Display,2
3620000489,286,94,Interior Page Feature,Not on Display,2
3620000488,286,94,Interior Page Feature,Not on Display,2
3620000482,286,94,Interior Page Feature,Not on Display,2
3620000480,286,94,Interior Page Feature,Not on Display,2
3620000468,286,94,Interior Page Feature,Not on Display,2
7680850108,1,68,Wrap Interior Feature,Not on Display,1
5100001212,1,66,Wrap Back Feature,Not on Display,1
5100002792,1,72,Interior Page Feature,Not on Display,1
3620000300,1,55,Wrap Interior Feature,Not on Display,1
4112907742,1,68,Wrap Interior Feature,Not on Display,1
3620000250,1,55,Wrap Interior Feature,Not on Display,1
5100001210,1,66,Wrap Back Feature,Not on Display,1
3620000218,1,55,Wrap Interior Feature,Not on Display,1
3620000217,1,55,Wrap Interior Feature,Not on Display,1
6172005010,1,76,Not on Feature,Rear End Cap,1
4420979129,1,66,Interior Page Feature,Not on Display,1
4420929024,1,66,Interior Page Feature,Not on Display,1
4112907722,1,68,Wrap Interior Feature,Not on Display,1
9999981580,1,66,Not on Feature,Rear End Cap,1
9999973863,1,66,Not on Feature,Rear End Cap,1
4112907712,1,68,Wrap Interior Feature,Not on Display,1
7680852180,1,67,Wrap Interior Feature,Not on Display,1
4112907702,1,68,Wrap Interior Feature,Not on Display,1
3620001405,1,56,Interior Page Line Item,Not on Display,1
3620001403,1,56,Interior Page Line Item,Not on Display,1
7680852009,1,67,Wrap Interior Feature,Not on Display,1
7680850738,1,72,Interior Page Feature,Not on Display,1
7680852007,1,67,Wrap Interior Feature,Not on Display,1
3620001376,1,56,Interior Page Line Item,Not on Display,1
7680850643,1,72,Interior Page Feature,Not on Display,1
3620001375,1,56,Interior Page Line Item,Not on Display,1
7680851829,1,67,Wrap Interior Feature,Not on Display,1
7680851709,1,67,Wrap Interior Feature,Not on Display,1
3620001369,1,56,Interior Page Line Item,Not on Display,1
4112907700,1,68,Wrap Interior Feature,Not on Display,1
3620001368,1,56,Interior Page Line Item,Not on Display,1
3620001365,1,56,Interior Page Line Item,Not on Display,1
7680851708,1,67,Wrap Interior Feature,Not on Display,1
3620001364,1,56,Interior Page Line Item,Not on Display,1
7680851613,1,67,Wrap Interior Feature,Not on Display,1
4112900006,1,68,Wrap Interior Feature,Not on Display,1
3620000488,1,56,Interior Page Line Item,Not on Display,1
3620000482,1,56,Interior Page Line Item,Not on Display,1
3620000480,1,56,Interior Page Line Item,Not on Display,1
7680851558,1,67,Wrap Interior Feature,Not on Display,1
3620000468,1,56,Interior Page Line Item,Not on Display,1
7680851433,1,67,Wrap Interior Feature,Not on Display,1
3620000464,1,56,Interior Page Line Item,Not on Display,1
4112900005,1,68,Wrap Interior Feature,Not on Display,1
5100002511,1,72,Interior Page Feature,Not on Display,1
3620000446,1,56,Interior Page Line Item,Not on Display,1
3620000445,1,56,Interior Page Line Item,Not on Display,1
7680850738,1,67,Wrap Interior Feature,Not on Display,1
7680850295,1,72,Interior Page Feature,Not on Display,1
3620000444,1,56,Interior Page Line Item,Not on Display,1
2700042274,1,68,Interior Page Feature,Not on Display,1
3620000441,1,56,Interior Page Line Item,Not on Display,1
7680850294,1,72,Interior Page Feature,Not on Display,1
3620000440,1,56,Interior Page Line Item,Not on Display,1
7680850295,1,67,Wrap Interior Feature,Not on Display,1
3620000350,1,56,Interior Page Line Item,Not on Display,1
7680850294,1,67,Wrap Interior Feature,Not on Display,1
3620000300,1,56,Interior Page Line Item,Not on Display,1
3620000250,1,56,Interior Page Line Item,Not on Display,1
7680850108,1,67,Wrap Interior Feature,Not on Display,1
3620000218,1,56,Interior Page Line Item,Not on Display,1
3620000217,1,56,Interior Page Line Item,Not on Display,1
7680850106,1,67,Wrap Interior Feature,Not on Display,1
1510000167,1,56,Interior Page Feature,Not on Display,1
2700042273,1,68,Interior Page Feature,Not on Display,1
